level,kode_lengkap,nama_item,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.04.007,Brankas,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.04.008,Peti Uang/Cash Box/Coin Box,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.04.009,Kardex Besi,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.04.010,Kardex Kayu,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.04.011,Rotary Filling,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.04.012,Compact Rolling,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.04.013,Buffet,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.04.014,Mobile File,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.04.015,Locker,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.04.016,Roll Opek,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.04.017,Tempat Menyimpan Gambar,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.04.018,Kontainer,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.04.019,Coin Box,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.04.020,Lemari Display,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.04.021,Water Proof Box,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.04.022,Folding Container Box,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.04.023,Box Truck,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.04.024,Laci Box,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.04.025,Lemari Katalog,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.04.026,Lemari Sorok,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.04.027,Lemari Kaca,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.04.028,Lemari Makan,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.05.01.05,ALAT KANTOR LAINNYA,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.001,Narkotik Test,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.002,CCTV - Camera Control Television System,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.003,Papan Visual/Papan Nama,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.004,Movitex Board,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.005,White Board,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.006,Alat Detektor Uang Palsu,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.007,Alat Detektor Barang Terlarang/X Ray,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.008,Copy Board/Electric White Board,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.009,Peta,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.010,Alat Penghancur Kertas,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.011,Globe,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.012,Mesin Absensi,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.013,Dry Seal,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.014,Fergulator,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.015,Cream Polisher,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.016,Mesin Perangko,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.017,Check Writer,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.018,Numerator,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.019,Alat Pemotong Kertas,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.020,Headmachine Besar,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.021,Perforator Besar,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.022,Alat Pencetak Label,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.023,Overhead Projector,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.024,Hand Metal Detector,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.025,Walkman Detector,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.026,Panel Pameran,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.027,Alat Pengaman/Sinyal,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.028,Board Modulux,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.029,Porto Safe Travel Case,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.030,Disk Prime,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.031,Megashow,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.032,White Board Electronic,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.033,Laser Pointer,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.034,Display,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.035,Exhauster Form,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.036,Rubu Mujayyab,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.037,Elecric Dumper,,,,,,,,,,,,,,,,,,,,,,,
